episode: 10995, score: 750.0, epsilon: 0.01
marking, episode: 11000, score: 750.0, mean_score: 1656.00, std_score: 571.50
episode: 11000, score: 750.0, epsilon: 0.01
episode: 11005, score: 2200.0, epsilon: 0.01
episode: 11010, score: 2000.0, epsilon: 0.01
episode: 11015, score: 750.0, epsilon: 0.01
episode: 11020, score: 2000.0, epsilon: 0.01
episode: 11025, score: 2000.0, epsilon: 0.01
episode: 11030, score: 850.0, epsilon: 0.01
episode: 11035, score: 750.0, epsilon: 0.01
episode: 11040, score: 750.0, epsilon: 0.01
episode: 11045, score: 750.0, epsilon: 0.01
episode: 11050, score: 1000.0, epsilon: 0.01
episode: 11055, score: 2000.0, epsilon: 0.01
episode: 11060, score: 2000.0, epsilon: 0.01
episode: 11065, score: 750.0, epsilon: 0.01
episode: 11070, score: 1100.0, epsilon: 0.01
episode: 11075, score: 750.0, epsilon: 0.01
episode: 11080, score: 2000.0, epsilon: 0.01
episode: 11085, score: 2100.0, epsilon: 0.01
episode: 11090, score: 2000.0, epsilon: 0.01
episode: 11095, score: 1000.0, epsilon: 0.01
marking, episode: 11100, score: 2000.0, mean_score: 1587.50, std_score: 602.72
episode: 11100, score: 2000.0, epsilon: 0.01
episode: 11105, score: 1000.0, epsilon: 0.01
episode: 11110, score: 2000.0, epsilon: 0.01
episode: 11115, score: 2100.0, epsilon: 0.01
episode: 11120, score: 2000.0, epsilon: 0.01
episode: 11125, score: 2100.0, epsilon: 0.01
episode: 11130, score: 2000.0, epsilon: 0.01
episode: 11135, score: 2000.0, epsilon: 0.01
episode: 11140, score: 750.0, epsilon: 0.01
episode: 11145, score: 1000.0, epsilon: 0.01
episode: 11150, score: 2000.0, epsilon: 0.01
episode: 11155, score: 1000.0, epsilon: 0.01
episode: 11160, score: 2000.0, epsilon: 0.01
episode: 11165, score: 2000.0, epsilon: 0.01
episode: 11170, score: 2000.0, epsilon: 0.01
episode: 11175, score: 750.0, epsilon: 0.01
episode: 11180, score: 2000.0, epsilon: 0.01
episode: 11185, score: 750.0, epsilon: 0.01
episode: 11190, score: 2000.0, epsilon: 0.01
episode: 11195, score: 750.0, epsilon: 0.01
marking, episode: 11200, score: 2000.0, mean_score: 1614.50, std_score: 606.56
episode: 11200, score: 2000.0, epsilon: 0.01
episode: 11205, score: 2000.0, epsilon: 0.01
episode: 11210, score: 2000.0, epsilon: 0.01
